ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_BALANCE,JOINT_ACCOUNT_HOLDER,BANKCARD,ONLINE_ACCESS,CARDNB,RTN
201390,1390,SAV,12953.7,YES,NO ,NO ,36111111111111,121000358
101391,1391,CHK,1171,NO ,YES,NO ,3528309518562060,31202084
101392,1392,SAV,18134,YES,YES,NO ,5285696282092970,123103716
101393,1393,SAV,18910,YES,NO ,NO ,5285696282092970,21000322
101394,1394,SAV,4268,NO ,YES,NO ,6520224090045450,11500010
101395,1395,SAV,1470.7,YES,YES,NO ,4146-6643-9004-5458,71000505
201395,1395,CHK,1203.3,YES,YES,NO ,4146664390045450,11200365
101396,1396,LN ,4876,NO ,YES,YES,6520224090045450,81000032
101397,1397,CHK,13677,NO ,YES,NO ,6011567891012130,71000505
101398,1398,CHK,1266,NO ,YES,NO ,5169 7990 9185 4334,11900571
101399,1399,CHK,5290,NO ,YES,YES,4146664390045450,11200608
101400,1400,LN ,15721,YES,YES,NO ,5462522444922680,81000032
101401,1401,CHK,4591,YES,YES,NO ,3400-000000-00009,122400724
101402,1402,CHK,16954,YES,NO ,NO ,30411111111111,81904808
101403,1403,SAV,787,NO ,YES,YES,3528-3095-1856-2063,71103619
101404,1404,SAV,11160,NO ,NO ,NO ,6011567891012130,11900571
101405,1405,SAV,6965.75,NO ,YES,NO ,4024 0071 2159 5481,64000020
201405,1405,CHK,5699.25,NO ,YES,NO ,213130951856200,103000017
101406,1406,SAV,24567,YES,NO ,NO ,5520111111111120,82000073
101407,1407,CHK,10041,NO ,YES,YES,30510011111111,53000196
101408,1408,LN ,5599,YES,NO ,NO ,4146-6643-9004-5458,81000032
101409,1409,SAV,73317,NO ,NO ,NO ,3528309518562060,41001039
101410,1410,SAV,5155.7,YES,NO ,NO ,4146 6643 9004 5458,63000047
201410,1410,CHK,4218.3,YES,NO ,NO ,5462522444922680,122101706
101411,1411,SAV,2022,NO ,YES,YES,4146-6643-9004-5458,11000138
101412,1412,SAV,59653,YES,NO ,NO ,38111111111119,21200339
101413,1413,SAV,812,NO ,YES,NO ,5169799091854330,21200339
101414,1414,SAV,3248,NO ,YES,YES,,122101706
101415,1415,SAV,7320.5,NO ,NO ,NO ,5169 7990 9185 4334,31202084
201415,1415,CHK,5989.5,NO ,NO ,NO ,30510011111111,101000035
101416,1416,SAV,54131,YES,NO ,NO ,5383908528354960,113000023
101417,1417,CHK,11623,YES,YES,NO ,6520224090045450,123002011
101418,1418,CHK,58392,NO ,YES,NO ,4146 6643 9004 5458,103000017
101419,1419,CHK,30059,YES,YES,NO ,36111111111111,122400724
101420,1420,LN ,3733,NO ,YES,NO ,6520224090045450,82000073
101421,1421,SAV,8909,NO ,YES,NO ,3400 000000 00009,11400495
101422,1422,SAV,3589,NO ,NO ,NO ,6520224090045450,121000358
101423,1423,SAV,3977,NO ,NO ,YES,36111111111111,123103716
101424,1424,SAV,699,NO ,YES,YES,3400 000000 00009,123002011
101425,1425,CHK,3092.65,YES,NO ,NO ,30011111111119,73000176
201425,1425,SAV,2530.35,YES,NO ,NO ,4024 0071 2159 5481,53000196
101426,1426,CHK,-89,YES,NO ,NO ,,123103716
101427,1427,CHK,95992,YES,YES,NO ,,125000024
101428,1428,LN ,-615,YES,YES,NO ,30411111111111,11200365
101429,1429,CHK,-139,NO ,YES,YES,,71214579
101430,1430,CHK,3975.95,YES,NO ,NO ,3400 000000 00009,125000574
201430,1430,SAV,3253.05,YES,NO ,NO ,6520224090045450,103000017
101431,1431,CHK,1580,NO ,YES,YES,340000000000009,307070267
101432,1432,LN ,1709,NO ,NO ,NO ,5462522444922680,101000035
101433,1433,SAV,16033,NO ,NO ,YES,4146-6643-9004-5458,125000574
101434,1434,SAV,3975,NO ,NO ,NO ,,103000017
101435,1435,SAV,2985.4,YES,NO ,NO ,4146 6643 9004 5458,31202084
201435,1435,CHK,2442.6,YES,NO ,NO ,213130951856200,71000505
101436,1436,SAV,22110,YES,NO ,NO ,5520111111111120,53000196
101437,1437,SAV,20617,YES,NO ,NO ,,323070380
101438,1438,SAV,15530,YES,NO ,NO ,3400-000000-00009,21000322
101439,1439,SAV,2124,NO ,YES,YES,3400-000000-00009,211672531
101440,1440,LN ,52031,NO ,NO ,NO ,4024-0071-2159-5481,103000017
101441,1441,CHK,9151,NO ,YES,NO ,4024007121595480,51000017
101442,1442,CHK,25259,NO ,YES,NO ,6520224090045450,63100277
101443,1443,CHK,48846,YES,NO ,NO ,6220264390045750,307070267
101444,1444,SAV,13248,NO ,NO ,NO ,,11200608
101445,1445,SAV,9526.55,YES,NO ,NO ,3400 000000 00009,11000138
201445,1445,CHK,7794.45,YES,NO ,NO ,,41001039
101360,1360,SAV,1367.3,NO ,YES,YES,38111111111119,211672531
201360,1360,CHK,1118.7,NO ,YES,YES,3400 000000 00009,71214579
101361,1361,SAV,18184,NO ,YES,NO ,3530 1113 3330 0000,124101555
101362,1362,SAV,67666,YES,YES,NO ,5520111111111120,63100277
101363,1363,SAV,113467,YES,NO ,NO ,30111111161229,21300077
101364,1364,SAV,5516,YES,NO ,NO ,213130951856200,71214579
101365,1365,SAV,-1207.8,NO ,YES,YES,6520224090045450,61000052
201365,1365,CHK,-988.2,NO ,YES,YES,30411111111111,122400724
101366,1366,CHK,653,NO ,YES,YES,5169799091854330,122400724
101367,1367,CHK,14953,NO ,NO ,NO ,4024-0071-2159-5481,21200339
101368,1368,LN ,432,NO ,YES,NO ,38111111111119,211672531
101369,1369,CHK,6078,NO ,YES,NO ,,103000017
101370,1370,CHK,2391.95,YES,NO ,NO ,30210111161229,122101706
201370,1370,SAV,1957.05,YES,NO ,NO ,4146 6643 9004 5458,71214579
101371,1371,CHK,6155,NO ,NO ,NO ,5383908528354960,125200879
101372,1372,LN ,1885,YES,NO ,NO ,180030951856201,73000176
101373,1373,CHK,10134,YES,YES,NO ,,211672531
101374,1374,CHK,20305,NO ,NO ,YES,,26009593
101375,1375,CHK,20323.6,YES,NO ,NO ,4146664390045450,82000073
201375,1375,SAV,16628.4,YES,NO ,NO ,38111111111119,51000017
101376,1376,LN ,30703,YES,NO ,NO ,5462522444922680,26009593
101377,1377,CHK,9446,NO ,NO ,NO ,4024007121595480,123103716
101378,1378,CHK,29379,YES,NO ,NO ,,122101706
101379,1379,CHK,42172,YES,NO ,NO ,4024 0071 2159 5481,71000505
101380,1380,LN ,43384,NO ,YES,NO ,4146 6643 9004 5458,54001204
101467,1467,SAV,4009,YES,NO ,NO ,340000000000009,11500010
101468,1468,SAV,11136,YES,NO ,NO ,180030951856201,11200608
101469,1469,SAV,26516,NO ,NO ,NO ,,54001204
101470,1470,SAV,-39.05,NO ,NO ,NO ,6520224090045450,123103716
201470,1470,CHK,-31.95,NO ,NO ,NO ,4146664390045450,11900571
101471,1471,SAV,3762,YES,YES,YES,5580977968891500,63100277
101472,1472,SAV,5386,YES,YES,NO ,3400-000000-00009,11000138
101473,1473,CHK,6134,YES,NO ,NO ,3528309518562060,82000073
101474,1474,CHK,15700,YES,NO ,NO ,,61000052
101475,1475,CHK,29677.45,YES,YES,NO ,378282246310005,111000025
201475,1475,SAV,24281.55,YES,YES,NO ,6520224090045450,323070380
101476,1476,LN ,2515,NO ,YES,YES,5520111111111120,71000505
101477,1477,CHK,12115,NO ,YES,NO ,36111111111111,123103716
101478,1478,CHK,17910,NO ,YES,NO ,3528-3095-1856-2063,122101706
101479,1479,CHK,31346,YES,NO ,NO ,30510011111111,123103716
101480,1480,LN ,26319,YES,NO ,NO ,3400 000000 00009,26009593
101481,1481,CHK,26319,YES,NO ,NO ,4146-6643-9004-5458,122400724
101482,1482,SAV,9989,YES,NO ,NO ,30411111111111,53000196
101483,1483,SAV,94493,YES,NO ,NO ,30210111161229,81904808
101484,1484,SAV,21928,YES,NO ,NO ,5462522444922680,21300077
101485,1485,CHK,308,NO ,NO ,NO ,30510011111111,71103619
201485,1485,SAV,252,NO ,NO ,NO ,30011111111119,123103716
101486,1486,CHK,34940,YES,YES,NO ,5383908528354960,11400495
101487,1487,CHK,2553,NO ,YES,NO ,5580977968891500,63000047
101488,1488,LN ,267,NO ,YES,YES,3400 000000 00009,11200365
101489,1489,SAV,181349,NO ,YES,NO ,36111111111111,53000196
101490,1490,SAV,219.45,NO ,YES,YES,30011111111119,51000017
201490,1490,CHK,179.55,NO ,YES,YES,4146 6643 9004 5458,53000196
101491,1491,SAV,47060,NO ,YES,NO ,4146664390045450,53000196
101492,1492,SAV,-347,NO ,YES,YES,6011567891012130,111000025
101493,1493,SAV,594,NO ,YES,NO ,5520111111111120,82000073
101494,1494,SAV,9361,NO ,YES,YES,3400 000000 00009,323070380
101495,1495,SAV,523.6,NO ,YES,NO ,340000000000009,124101555
201495,1495,CHK,428.4,NO ,YES,NO ,5169 7990 9185 4334,81000032
101496,1496,LN ,2271,NO ,YES,YES,5423111111111110,111000025
101497,1497,CHK,32307,YES,NO ,NO ,30510011111111,307070267
101498,1498,CHK,3435,YES,NO ,NO ,30310111161029,125000574
101499,1499,SAV,27365,YES,NO ,NO ,4146664390045450,101000035
101500,1500,SAV,16051.2,YES,NO ,NO ,3528-3095-1856-2063,64000020
201500,1500,CHK,13132.8,YES,NO ,NO ,6220264390045750,11200365
101501,1501,SAV,8946,NO ,YES,NO ,,81000032
101502,1502,SAV,3299,YES,YES,YES,180030951856201,52001633
101503,1503,SAV,2410,NO ,YES,YES,3530 1113 3330 0000,11200608
101504,1504,SAV,13349,NO ,YES,NO ,6520224090045450,73000176
101505,1505,SAV,837.1,YES,YES,NO ,3528309518562060,103000017
201505,1505,CHK,684.9,YES,YES,NO ,378282246310005,122101706
101506,1506,SAV,25585,YES,YES,NO ,30510011111111,51000017
101507,1507,SAV,16670,YES,YES,NO ,340000000000009,71103619
101508,1508,SAV,6473,YES,NO ,NO ,6520224090045450,53904483
101509,1509,SAV,5781,NO ,NO ,NO ,6220264390045750,71000505
101510,1510,SAV,8298.95,NO ,YES,NO ,5462522444922680,103000017
201510,1510,CHK,6790.05,NO ,YES,NO ,6011567891012130,121000358
101511,1511,SAV,20475,YES,NO ,NO ,5580977968891500,51000017
101512,1512,SAV,44401,NO ,NO ,NO ,5462522444922680,21200339
101513,1513,SAV,11572,YES,YES,NO ,4146-6643-9004-5458,123103716
101514,1514,SAV,-3812,YES,NO ,NO ,30510011111111,73000176
101515,1515,SAV,1310.1,NO ,YES,YES,3528309518562060,71103619
201515,1515,CHK,1071.9,NO ,YES,YES,4024-0071-2159-5481,122400724
101516,1516,SAV,2853,NO ,YES,YES,3528-3095-1856-2063,11900571
101517,1517,SAV,9276,YES,NO ,NO ,4146664390045450,21000322
101518,1518,CHK,20250,YES,NO ,NO ,340000000000009,111000025
101519,1519,CHK,20173,YES,YES,NO ,4024-0071-2159-5481,54001204
101520,1520,LN ,16038,NO ,YES,NO ,5169-7990-9185-4334,103000017
101521,1521,CHK,48711,NO ,NO ,NO ,6520224090045450,124000737
101522,1522,CHK,8405,NO ,NO ,NO ,340000000000009,54001204
101523,1523,CHK,22,YES,NO ,YES,30510011111111,82000073
101524,1524,LN ,5028,YES,NO ,NO ,5169-7990-9185-4334,11900571
101525,1525,CHK,2169.75,YES,NO ,NO ,30411111111111,21200339
201525,1525,SAV,1775.25,YES,NO ,NO ,5383908528354960,82000073
101526,1526,CHK,18738,YES,YES,NO ,30310111161029,103000017
101527,1527,CHK,-138,NO ,YES,NO ,4146 6643 9004 5458,123103716
101528,1528,LN ,10651,NO ,NO ,NO ,5520111111111120,123002011
101529,1529,CHK,46837,NO ,YES,NO ,4024-0071-2159-5481,122101706
101530,1530,CHK,35620.75,NO ,NO ,NO ,3530 1113 3330 0000,82000073
201530,1530,SAV,29144.25,NO ,NO ,NO ,36111111111111,123103716
101446,1446,CHK,815,NO ,YES,NO ,,51000017
101447,1447,CHK,100483,NO ,YES,NO ,30111111161229,11400495
101448,1448,LN ,293,NO ,YES,NO ,4146664390045450,11900571
101449,1449,CHK,962,YES,NO ,NO ,38111111111119,61000052
101450,1450,SAV,6581.85,YES,NO ,NO ,213130951856200,21000322
201450,1450,CHK,5385.15,YES,NO ,NO ,,11000138
101451,1451,SAV,3046,NO ,YES,YES,6520224090045450,101000035
101452,1452,SAV,17268,NO ,YES,NO ,5169799091854330,51000017
101453,1453,SAV,11659,NO ,NO ,NO ,5580977968891500,26009593
101454,1454,SAV,23869,YES,YES,NO ,5169799091854330,11900571
101455,1455,SAV,44081.95,NO ,YES,NO ,36111111111111,101000035
201455,1455,CHK,36067.05,NO ,YES,NO ,30510011111111,63100277
101456,1456,LN ,1979,NO ,YES,YES,5285696282092970,122101706
101457,1457,CHK,2600,YES,YES,YES,,101100045
101458,1458,CHK,72650,NO ,NO ,NO ,3528309518562060,11000138
101459,1459,CHK,918,NO ,YES,YES,3400 000000 00009,11500010
101460,1460,SAV,4820.75,YES,NO ,NO ,180030951856201,81000032
201460,1460,CHK,3944.25,YES,NO ,NO ,3400-000000-00009,26009593
101461,1461,SAV,7827,NO ,YES,NO ,5423111111111110,53904483
101462,1462,SAV,63960,NO ,YES,NO ,3530 1113 3330 0000,123103716
101463,1463,SAV,14525,YES,YES,NO ,4146-6643-9004-5458,51000017
101464,1464,SAV,3781,NO ,YES,NO ,5423111111111110,125200879
101465,1465,SAV,19439.75,NO ,YES,NO ,30310111161029,121000358
201465,1465,CHK,15905.25,NO ,YES,NO ,4024007121595480,31202084
101466,1466,SAV,30527,NO ,YES,NO ,30310111161029,11500010
101552,1552,LN ,23644,YES,NO ,NO ,,11200608
101553,1553,CHK,7594,YES,YES,NO ,4024007121595480,21200339
101554,1554,CHK,1009,NO ,YES,YES,,121000358
101555,1555,SAV,19626.2,YES,NO ,NO ,180030951856201,54001204
201555,1555,CHK,16057.8,YES,NO ,NO ,3530 1113 3330 0000,63000047
101556,1556,SAV,39330,YES,NO ,NO ,36111111111111,101000035
101557,1557,SAV,12715,YES,NO ,NO ,340000000000009,11400495
101558,1558,SAV,38199,YES,NO ,NO ,,111000025
101559,1559,CHK,671,NO ,NO ,NO ,,125200879
101560,1560,LN ,1851,NO ,YES,NO ,5462522444922680,113000023
101561,1561,CHK,5082,YES,NO ,NO ,4146664390045450,71214579
101562,1562,CHK,575,NO ,YES,YES,6520224090045450,11900571
101563,1563,CHK,10643,NO ,YES,NO ,30011111111119,31202084
101564,1564,LN ,2585,NO ,YES,NO ,,81904808
101565,1565,CHK,27152.95,NO ,YES,NO ,,71103619
201565,1565,SAV,22216.05,NO ,YES,NO ,30011111111119,11200365
101566,1566,CHK,23139,YES,NO ,NO ,3400 000000 00009,21300077
101567,1567,SAV,4228,NO ,NO ,YES,,11200608
101568,1568,SAV,1502,NO ,NO ,NO ,4146 6643 9004 5458,107000327
101569,1569,SAV,1087,NO ,NO ,NO ,,73000176
101570,1570,SAV,-578.6,NO ,YES,NO ,6011567891012130,41001039
201570,1570,CHK,-473.4,NO ,YES,NO ,5423111111111110,111000025
101571,1571,SAV,10722,YES,NO ,NO ,3400 000000 00009,51000017
101572,1572,SAV,16296,YES,YES,NO ,6520224090045450,11000138
101573,1573,SAV,16032,YES,YES,NO ,6220264390045750,103000017
101574,1574,SAV,24554,YES,NO ,YES,180030951856201,71103619
101575,1575,SAV,80270.85,YES,YES,NO ,378282246310005,21000322
201575,1575,CHK,65676.15,YES,YES,NO ,,107000327
101576,1576,SAV,31653,NO ,YES,NO ,30510011111111,113000023
101577,1577,SAV,9970,YES,YES,NO ,4146664390045450,11200365
101578,1578,SAV,67106,NO ,YES,NO ,,71214579
101579,1579,CHK,57351,YES,YES,YES,3528-3095-1856-2063,124000737
101580,1580,LN ,64182,NO ,NO ,NO ,180030951856201,11900571
101581,1581,CHK,456,NO ,YES,YES,,107000327
101582,1582,CHK,1297,NO ,YES,NO ,5520111111111120,107000327
101583,1583,CHK,8320,NO ,YES,YES,4024007121595480,124000737
101584,1584,LN ,1854,NO ,YES,NO ,,113000023
101585,1585,CHK,1960.2,NO ,YES,NO ,3400-000000-00009,211672531
201585,1585,SAV,1603.8,NO ,YES,NO ,,63000047
101586,1586,CHK,5516,YES,NO ,NO ,4146-6643-9004-5458,54001204
101587,1587,SAV,-1190,YES,NO ,YES,3528-3095-1856-2063,53904483
101588,1588,SAV,18831,YES,YES,NO ,,101000035
101589,1589,SAV,21993,NO ,NO ,NO ,5580977968891500,71000505
101590,1590,SAV,664.4,NO ,YES,YES,4024-0071-2159-5481,11000138
201590,1590,CHK,543.6,NO ,YES,YES,3528309518562060,53904483
101591,1591,CHK,9877,YES,YES,NO ,5285696282092970,26009593
101592,1592,LN ,31212,YES,NO ,NO ,4024 0071 2159 5481,307070267
101593,1593,CHK,1190,NO ,NO ,NO ,30011111111119,123103716
101594,1594,CHK,27200,NO ,YES,NO ,4146 6643 9004 5458,21200339
101595,1595,SAV,283.8,NO ,YES,YES,3400-000000-00009,101100045
201595,1595,CHK,232.2,NO ,YES,YES,340000000000009,11900571
101596,1596,SAV,9087,YES,YES,NO ,5285696282092970,11400495
101597,1597,SAV,46420,NO ,YES,NO ,3400 000000 00009,51000017
101598,1598,SAV,1041,YES,YES,NO ,30310111161029,125000024
101599,1599,CHK,23437,NO ,YES,YES,3530 1113 3330 0000,11500010
101600,1600,LN ,88024,YES,YES,NO ,,124000737
101601,1601,CHK,15789,YES,NO ,NO ,5462522444922680,31202084
101602,1602,CHK,159193,YES,NO ,NO ,3530 1113 3330 0000,51000017
101603,1603,CHK,1217,NO ,NO ,NO ,38111111111119,323070380
101604,1604,LN ,39244,YES,NO ,NO ,,121000358
101605,1605,CHK,6626.4,NO ,YES,NO ,30510011111111,71103619
201605,1605,SAV,5421.6,NO ,YES,NO ,30111111161229,82000073
101606,1606,CHK,14318,NO ,NO ,YES,5462522444922680,123002011
101607,1607,SAV,13416,YES,NO ,NO ,36111111111111,31202084
101608,1608,SAV,3300,YES,NO ,NO ,,81904808
101609,1609,SAV,2204,NO ,YES,YES,30111111161229,63100277
101610,1610,SAV,8317.65,YES,NO ,NO ,5520111111111120,63000047
201610,1610,CHK,6805.35,YES,NO ,NO ,6011567891012130,51000017
101611,1611,SAV,20229,NO ,YES,NO ,30111111161229,211672531
101612,1612,SAV,57895,YES,YES,YES,4024 0071 2159 5481,125000574
101613,1613,SAV,59211,YES,YES,NO ,5423111111111110,125000574
101614,1614,CHK,4496,NO ,YES,NO ,5580977968891500,51000017
101615,1615,CHK,17045.6,YES,NO ,NO ,5285696282092970,122101706
201615,1615,SAV,13946.4,YES,NO ,NO ,5423111111111110,11500010
101616,1616,LN ,36525,YES,NO ,NO ,5423111111111110,21000322
101531,1531,CHK,4968,YES,NO ,NO ,30310111161029,31202084
101532,1532,SAV,42892,YES,NO ,NO ,30011111111119,123002011
101533,1533,SAV,17043,YES,NO ,NO ,5520111111111120,51000017
101534,1534,SAV,60060,YES,NO ,NO ,30411111111111,11200365
101535,1535,SAV,3212,NO ,YES,NO ,6520224090045450,51000017
201535,1535,CHK,2628,NO ,YES,NO ,4024 0071 2159 5481,54001204
101536,1536,SAV,13525,NO ,NO ,YES,3528-3095-1856-2063,21300077
101537,1537,SAV,18666,YES,YES,NO ,30111111161229,101100045
101538,1538,SAV,18015,NO ,NO ,NO ,340000000000009,54001204
101539,1539,SAV,276,NO ,YES,NO ,5285696282092970,123103716
101540,1540,SAV,2113.65,NO ,YES,YES,4024-0071-2159-5481,122101706
201540,1540,CHK,1729.35,NO ,YES,YES,5169799091854330,101000035
101541,1541,CHK,-3332,YES,NO ,YES,30111111161229,31202084
101542,1542,CHK,31548,NO ,YES,NO ,5580977968891500,111000025
101543,1543,CHK,21840,NO ,NO ,NO ,5520111111111120,123103716
101544,1544,SAV,4937,NO ,YES,YES,36111111111111,71214579
101545,1545,SAV,5061.1,YES,NO ,NO ,30411111111111,211672531
201545,1545,CHK,4140.9,YES,NO ,NO ,30310111161029,123103716
101546,1546,SAV,3703,YES,NO ,NO ,30011111111119,31202084
101547,1547,CHK,48668,YES,YES,NO ,5285696282092970,125000574
101548,1548,LN ,40473,YES,NO ,NO ,30011111111119,11400495
101549,1549,CHK,12207,NO ,YES,YES,,211672531
101550,1550,CHK,8810.45,YES,NO ,NO ,5423111111111110,73000176
201550,1550,SAV,7208.55,YES,NO ,NO ,378282246310005,64000020
101551,1551,CHK,1776,YES,YES,YES,180030951856201,81904808
101617,1617,CHK,2325,YES,NO ,NO ,30210111161229,124101555
101618,1618,SAV,137624,YES,NO ,NO ,213130951856200,124000737
101619,1619,SAV,59616,YES,NO ,NO ,4146 6643 9004 5458,21000322
101620,1620,SAV,14558.5,YES,YES,NO ,30310111161029,121000358
201620,1620,CHK,11911.5,YES,YES,NO ,5383908528354960,11000138
101621,1621,SAV,-655,NO ,YES,NO ,6220264390045750,41001039
102594,2594,SAV,871,YES,NO ,NO ,38111111111119,211672531
102595,2595,SAV,-9.35,YES,YES,YES,,11200365
202595,2595,CHK,-7.65,YES,YES,YES,3528-3095-1856-2063,11000138
102596,2596,LN ,9606,YES,NO ,YES,5169 7990 9185 4334,11400495
102597,2597,CHK,5271,YES,YES,YES,30510011111111,64000020
102598,2598,CHK,382,YES,NO ,NO ,213130951856200,51000017
102599,2599,CHK,56464,YES,NO ,NO ,,323070380
102600,2600,LN ,7826,YES,YES,YES,180030951856201,21200339
102601,2601,CHK,13382,YES,YES,NO ,5423111111111110,323070380
102602,2602,CHK,2922,NO ,YES,YES,5383908528354960,211672531
102603,2603,CHK,5556,NO ,YES,YES,30210111161229,21200339
102604,2604,LN ,18358,YES,YES,NO ,3400 000000 00009,41001039
102605,2605,CHK,12263.35,YES,YES,NO ,5520111111111120,123002011
202605,2605,SAV,10033.65,YES,YES,NO ,4146 6643 9004 5458,122101706
102606,2606,SAV,4628,YES,YES,YES,3400-000000-00009,111000025
102607,2607,SAV,11363,YES,YES,NO ,36111111111111,26009593
102608,2608,LN ,5977,NO ,YES,NO ,,124000737
102609,2609,CHK,8238,YES,NO ,NO ,5520111111111120,53000196
102610,2610,CHK,3331.35,YES,NO ,NO ,5580977968891500,103000017
202610,2610,SAV,2725.65,YES,NO ,NO ,3400-000000-00009,123103716
102611,2611,CHK,25789,YES,YES,YES,5520111111111120,123002011
102612,2612,SAV,8210,YES,YES,YES,36111111111111,51000017
102528,2528,LN ,3804,YES,NO ,YES,30310111161029,53000196
102529,2529,CHK,2464,NO ,YES,NO ,,125000574
102530,2530,CHK,2423.3,NO ,YES,NO ,180030951856201,54001204
202530,2530,SAV,1982.7,NO ,YES,NO ,5285696282092970,51000017
